012110OR-M,012110-0003,4.95,0,20
012110OR-S,012110-0002,4.95,0,20
012110OR-XS,012110-0001,4.95,0,20
012120RD-L,012120-0004,5.5,0,20
012120RD-M,012120-0003,5.5,0,20
012120RD-S,012120-0002,5.5,0,20
012120RD-XS,012120-0001,5.5,0,20
012130BN-L,012130-0004,5.95,0,20
012130BN-M,012130-0003,5.95,0,20
012130BN-S,012130-0002,5.95,0,20
012130BN-XS,012130-0001,5.95,0,20
012140BN-L,012140-0004,5.95,0,20
012140BN-M,012140-0003,5.95,0,20
012140BN-S,012140-0002,5.95,0,20
012140BN-XS,012140-0001,5.95,0,20
012160WT-L,012160-0004,3.25,0,20
012160WT-M,012160-0003,3.25,0,20
012160WT-S,012160-0002,3.25,0,20
012160WT-XS,012160-0001,3.25,0,20
012170RD-L,012170-0004,6.95,0,20
012170RD-M,012170-0003,6.95,0,20
012170RD-S,012170-0002,6.95,0,20
012170RD-XS,012170-0001,6.95,0,20
012180GRY-L,012180-0004,6.95,0,20
012180GRY-M,012180-0003,6.95,0,20
012180GRY-S,012180-0002,6.95,0,20
012180GRY-XS,012180-0001,6.95,0,20
012210BN-L,012210-0004,4.95,0,20
012210BN-M,012210-0003,4.95,0,20
012210BN-S,012210-0002,4.95,0,20
012210BN-XS,012210-0001,4.95,0,20
012220WT-L,012220-0004,4.95,0,20
012220WT-M,012220-0003,4.95,0,20
012220WT-S,012220-0002,4.95,0,20
012220WT-XS,012220-0001,4.95,0,20
012230GN-L,012230-0004,5.5,0,20
012230GN-M,012230-0003,5.5,0,20
012230GN-S,012230-0002,5.5,0,20
012230GN-XS,012230-0001,5.5,0,20
021230PK,21230,27,0,20
021240GN,21240,27,0,20
021240PK,021240PK,33,0,20
021430BG,21430,17.5,0,20
021431PK,21431,17.5,0,20
021432BL,21432,17.5,0,20
021440BL,021440-0001,8.95,0,20
021440BL,021440-0001,8.95,0,20
021510BG,021510CVR-0001,12.5,0,20
021610PK,21610,14,0,20
031210PK-L,031210-0009,13.95,0,20
031210PK-M,031210-0008,13.95,0,20
031210PK-S,031210-0007,13.95,0,20
031210PK-XL,031210-0010,13.95,0,20
031210PK-XS,031210-0006,13.95,0,20
031320PK-L,031320PK-L,8.75,0,20
031320PK-M,031320PK-M,8.75,0,20
031320PK-S,031320PK-S,8.75,0,20
031320PK-XL,031320PK-XL,8.75,0,20
031320PK-XS,031320PK-XS,8.75,0,20
031320PK-XXL,031320PK-XXL,8.75,0,20
04032PK,04032-0004,3.25,0,20
042210PK-L,042210-0008,6.75,0,20
042210PK-M,042210-0007,6.75,0,20
042210PK-S,042210-0006,6.75,0,20
042210PK-XS,042210-0005,6.75,0,20
042310PK-L,042310-0009,7.6,0,20
042310PK-M,042310-0008,7.6,0,20
042310PK-S,042310-0007,7.6,0,20
