"12110","OR","M","4.95","0"
"12110","OR","S","4.95","0"
"12110","OR","XS","4.95","20"
"12120","RD","L","5.5","8"
"12120","RD","M","5.5","0"
"12120","RD","S","5.5","49"
"12120","RD","XS","5.5","53"
"12130","BN","L","5.95","0"
"12130","BN","M","5.95","57"
"12130","BN","S","5.95","61"
"12130","BN","XS","5.95","83"
"12140","BN","L","5.95","0"
"12140","BN","M","5.95","21"
"12140","BN","S","5.95","16"
"12140","BN","XS","5.95","46"
"12160","WT","L","3.25","50"
"12160","WT","M","3.25","90"
"12160","WT","S","3.25","91"
"12160","WT","XS","3.25","104"
"12170","RD","L","6.95","54"
"12170","RD","M","6.95","89"
"12170","RD","S","6.95","60"
"12170","RD","XS","6.95","72"
"12180","GRY","L","6.95","19"
"12180","GRY","M","6.95","55"
"12180","GRY","S","6.95","54"
"12180","GRY","XS","6.95","34"
"12210","BN","L","4.95","41"
"12210","BN","M","4.95","42"
"12210","BN","S","4.95","58"
"12210","BN","XS","4.95","48"
"12211","PK","XS","4.95","23"
"12220","WT","L","4.95","0"
"12220","WT","M","4.95","15"
"12220","WT","S","4.95","17"
"12220","WT","XS","4.95","9"
"12230","GN","L","5.5","1"
"12230","GN","M","5.5","0"
"12230","GN","S","5.5","25"
"12230","GN","XS","5.5","0"
"21220","BN","none","27","0"
"21230","PK","none","27","27"
"21240","GN","none","27","27"
"21240","PK","none","33","45"
"21241","BL","none","33","50"
"21410","PK","M","14.99","0"
"21410","PK","S","11.99","0"
"21420","BL","M","11.99","12"
"21420","BL","S","11.99","0"
"21430","BG","none","17.5","2"
"21431","PK","none","17.5","87"
"21432","BL","none","17.5","100"
"21440","BL","none","8.95","287"
"21441","PK","none","8.95","294"
"21500","NA","none","27","175"
"21510","BG","none","12.5","125"
"21511","GN","none","12.5","51"
"21520","GRY","none","12.5","111"
"21610","PK","none","14","62"
"21611","BL","none","14","61"
"31210","PK","L","13.95","10"
"31210","PK","M","13.95","3"
"31210","PK","S","13.95","3"
"31210","PK","XL","13.95","22"
"31210","PK","XS","13.95","21"
"31211","BK","L","13.95","0"
"31211","BK","M","13.95","0"
"31211","BK","S","13.95","3"
"31211","BK","XL","13.95","0"
"31211","BK","XS","13.95","0"
"31212","RD","L","13.95","0"
"31212","RD","M","13.95","0"
"31212","RD","S","13.95","5"
"31212","RD","XL","13.95","0"
"31212","RD","XS","13.95","6"
"31310","PK","L","8.5","0"
"31310","PK","M","8.5","4"
"31310","PK","S","8.5","1"
"31310","PK","XL","8.5","1"
"31310","PK","XS","8.5","1"
"31310","PK","XXL","8.5","1"
"31311","BL","L","8.5","0"
"31311","BL","M","8.5","0"
"31311","BL","S","8.5","0"
"31311","BL","XL","8.5","0"
"31311","BL","XS","8.5","0"
"31311","BL","XXL","8.5","0"
"31312","BK","L","8.5","0"
"31312","BK","M","8.5","0"
"31312","BK","S","8.5","0"
"31312","BK","XL","8.5","0"
"31312","BK","XS","8.5","0"
"31312","BK","XXL","8.5","0"
"31313","RD","L","8.5","0"
"31313","RD","M","8.5","0"
"31313","RD","S","8.5","0"
"31313","RD","XL","8.5","0"
"31313","RD","XS","8.5","0"
"31313","RD","XXL","8.5","0"
"31320","PK","L","0","3"
"31320","PK","M","0","3"
"31320","PK","S","0","3"
"31320","PK","XL","0","0"
"31320","PK","XS","0","3"
"31320","PK","XXL","0","3"
"31321","BL","L","0","0"
"31321","BL","M","0","1"
"31321","BL","S","0","3"
"31321","BL","XL","0","0"
"31321","BL","XS","0","3"
"31321","BL","XXL","0","3"
"31322","BK","L","0","3"
"31322","BK","M","0","3"
"31322","BK","S","0","3"
"31322","BK","XL","0","3"
"31322","BK","XS","0","3"
"31322","BK","XXL","0","3"
"31323","RD","L","0","1"
"31323","RD","M","0","3"
"31323","RD","S","0","3"
"31323","RD","XL","0","3"
"31323","RD","XS","0","3"
"31323","RD","XXL","0","3"
"4020","RD","none","2.99","197"
"4021","BK","none","2.99","2"
"4022","PK","none","2.99","6"
"4024","RD","none","2.99","57"
"4030","PH","none","4.25","2"
"4031","BL","none","4.25","28"
"4032","PK","none","3.25","20"
"4033","GN","none","3.25","59"
"4034","BK","none","3.25","-1"
"4035","RD","none","3.25","20"
"4036","BL","none","3.25","123"
"4050","RD","none","4","30"
"4051","BL","none","4","12"
"4060","GN","none","3","119"
"41020","BK","L","2.25","196"
"41020","BK","M","2.25","279"
"41020","BK","S","2.25","181"
"41021","PK","L","2.25","190"
"41021","PK","M","2.25","245"
"41021","PK","S","2.25","287"
"41022","RD","L","2.25","198"
"41022","RD","M","2.25","269"
"41022","RD","S","2.25","227"
"41023","BL","L","2.25","208"
"41023","BL","M","2.25","242"
"41023","BL","S","2.25","151"
"41030","BK","L","3.25","164"
"41030","BK","M","3.25","128"
"41030","BK","S","3.25","70"
"41031","PK","L","3.25","210"
"41031","PK","M","3.25","135"
"41031","PK","S","3.25","7"
"41032","RD","L","3.25","114"
"41032","RD","M","3.25","120"
"41032","RD","S","3.25","45"
"41033","BL","L","3.25","136"
"41033","BL","M","3.25","117"
"41033","BL","S","3.25","-6"
"42010","GR","L","8","28"
"42010","GR","M","8","8"
"42010","GR","S","8","-4"
"42010","GR","XL","8","29"
"42010","GR","XS","8","18"
"42011","PK","L","8","54"
"42011","PK","M","8","44"
"42011","PK","S","8","89"
"42011","PK","XL","8","25"
"42011","PK","XS","8","67"
"42012","BK","L","8","42"
"42012","BK","M","8","40"
"42012","BK","S","8","30"
"42012","BK","XL","8","19"
"42012","BK","XS","8","41"
"42013","BN","L","8","76"
